symbol,industry,industry_code
475150,에너지장비및서비스,295
475560,"호텔,레스토랑,레저",317
480370,기계,299
481850,부동산,280
483650,화장품,266
484870,우주항공과국방,284
487570,복합기업,276
489790,통신장비,294
499790,"호텔,레스토랑,레저",317
900140,자동차,273
950210,제약,261
