date,open,high,low,close,volume,change_rate
2020-10-15,267300,347490,250965,255420,6557212,
2020-10-16,250469,250469,197010,198495,4504395,-22.28682170542636
2020-10-19,196515,200475,185129,187110,1977996,-5.7356608478802995
2020-10-20,188100,191565,174240,180675,1811616,-3.439153439153439
2020-10-21,178695,183645,175230,177210,1658643,-1.9178082191780823
2020-10-22,174735,183150,173745,178200,1193994,0.5586592178770949
2020-10-23,181170,182160,169785,170775,905547,-4.166666666666666
2020-10-26,171270,171765,154440,154440,987951,-9.565217391304348
2020-10-27,152955,164340,150975,160875,1118487,4.166666666666666
2020-10-28,159885,161865,155925,156915,581195,-2.4615384615384617
2020-10-29,153945,159885,152955,155430,518248,-0.9463722397476341
2020-10-30,147510,149985,140580,140580,1142310,-9.554140127388536
2020-11-02,141075,145035,139590,142065,412881,1.056338028169014
2020-11-03,143055,150480,143055,150480,689435,5.923344947735192
2020-11-04,151965,151965,145530,147510,329773,-1.9736842105263157
2020-11-05,148995,171270,148500,162360,1565701,10.06711409395973
2020-11-06,162855,164340,157905,160380,413106,-1.2195121951219512
2020-11-09,162360,167805,159390,161370,429226,0.6172839506172839
2020-11-10,166815,169785,164835,166320,491183,3.067484662576687
2020-11-11,168795,170280,161370,162360,295999,-2.380952380952381
2020-11-12,162360,162360,154440,155925,326268,-3.9634146341463414
2020-11-13,154935,160875,154440,158400,224605,1.5873015873015872
2020-11-16,153945,170280,152955,169785,1162127,7.187499999999999
2020-11-17,167310,181170,163845,177705,925185,4.664723032069971
2020-11-18,179685,183645,176220,179685,418979,1.1142061281337048
2020-11-19,179685,180675,174240,178200,287615,-0.8264462809917356
2020-11-20,180180,191070,176220,182655,822190,2.5
2020-11-23,183150,184140,176220,178200,404421,-2.4390243902439024
2020-11-24,179190,179685,172260,179190,387623,0.5555555555555556
2020-11-25,181665,182655,170775,172260,441052,-3.867403314917127
2020-11-26,175230,179685,173250,174240,343663,1.1494252873563218
2020-11-27,176220,176715,173250,176220,128351,1.1363636363636365
2020-11-30,176220,179190,174735,177705,177706,0.8426966292134831
2020-12-01,180675,183150,177705,179190,328175,0.8356545961002786
2020-12-02,181170,181170,178200,180180,195743,0.5524861878453038
2020-12-03,181665,188594,180180,187605,666358,4.1208791208791204
