date,open,high,low,close,volume,change_rate
2013-08-20,12100,12100,11500,11900,58178,
2013-08-21,11900,11900,11500,11850,40707,-0.42016806722689076
2013-08-22,11550,11700,11350,11350,43154,-4.219409282700422
2013-08-23,11350,11600,11300,11550,28600,1.762114537444934
2013-08-26,11600,11750,11550,11600,22040,0.4329004329004329
2013-08-27,11700,11700,11250,11400,31400,-1.7241379310344827
2013-08-28,11100,11500,11100,11400,22580,0.0
2013-08-29,11400,11450,10700,10700,62523,-6.140350877192982
2013-08-30,10650,10900,10200,10450,239324,-2.336448598130841
2013-09-02,10500,10700,10350,10650,64333,1.9138755980861244
2013-09-03,10500,10750,10200,10600,116446,-0.4694835680751174
2013-09-04,10700,11000,10450,11000,67734,3.7735849056603774
2013-09-05,11200,11250,10750,10950,83312,-0.45454545454545453
2013-09-06,10950,11200,10950,11050,54393,0.91324200913242
2013-09-09,11050,11350,10850,11150,67649,0.904977375565611
2013-09-10,11250,11400,10950,11400,63336,2.242152466367713
2013-09-11,11450,11450,11100,11400,54361,0.0
2013-09-12,11300,11400,11000,11150,69656,-2.1929824561403506
2013-09-13,11050,11400,10950,11350,55593,1.7937219730941705
2013-09-16,11200,11950,11200,11900,79021,4.845814977973569
2013-09-17,11700,12100,11700,11950,84021,0.42016806722689076
2013-09-23,11950,12050,11800,12000,114195,0.41841004184100417
2013-09-24,12000,12850,11900,12450,141029,3.75
2013-09-25,12450,12800,12200,12800,110440,2.8112449799196786
2013-09-26,12800,13550,12800,13150,103768,2.734375
2013-09-27,13200,13500,13100,13350,32163,1.520912547528517
2013-09-30,13450,13450,13100,13200,41674,-1.1235955056179776
2013-10-01,13300,13350,12700,13150,57484,-0.3787878787878788
2013-10-02,13450,13450,13050,13100,18691,-0.38022813688212925
2013-10-04,13150,13500,13000,13400,31911,2.2900763358778624
2013-10-07,13550,13550,13050,13350,43676,-0.3731343283582089
2013-10-08,13350,13350,13100,13300,11390,-0.37453183520599254
2013-10-10,13150,13900,13150,13900,27700,4.511278195488721
2013-10-11,14000,14000,13500,13550,31790,-2.5179856115107913
2013-10-14,13450,13700,13000,13550,33724,0.0
2013-10-15,13350,13650,13300,13500,25463,-0.36900369003690037
2013-10-16,13400,13600,13250,13450,52862,-0.3703703703703704
2013-10-17,13450,13500,12850,13000,65396,-3.3457249070631967
2013-10-18,13100,13100,12200,12200,78215,-6.153846153846154
2013-10-21,12150,12850,12150,12400,121716,1.639344262295082
2013-10-22,12400,12900,12400,12900,61865,4.032258064516129
