date,open,high,low,close,volume,change_rate
2013-08-20,27600,27950,27050,27150,461578,
2013-08-21,27050,27200,26000,26200,600250,-3.4990791896869244
2013-08-22,25900,26450,25750,26100,459599,-0.38167938931297707
2013-08-23,25900,26500,25800,26450,460133,1.3409961685823755
2013-08-26,26100,26900,26050,26900,246567,1.7013232514177694
2013-08-27,26600,26900,26500,26550,241037,-1.3011152416356877
2013-08-28,26250,27050,26200,26650,794051,0.3766478342749529
2013-08-29,27000,27200,26700,26950,426017,1.125703564727955
2013-08-30,26900,27750,26850,27700,512244,2.782931354359926
2013-09-02,27800,28350,27550,28100,419253,1.444043321299639
2013-09-03,28200,28350,28000,28100,312323,0.0
2013-09-04,28100,28200,27800,28050,294870,-0.1779359430604982
2013-09-05,28100,28400,27950,28000,368108,-0.17825311942959002
2013-09-06,27950,28300,27850,28200,285569,0.7142857142857143
2013-09-09,28100,28350,27950,28300,277080,0.3546099290780142
2013-09-10,28100,28600,28100,28550,369368,0.88339222614841
2013-09-11,28450,28700,28350,28700,305968,0.5253940455341506
2013-09-12,28750,29450,28500,29250,664555,1.9163763066202089
2013-09-13,29000,29400,28850,29000,253193,-0.8547008547008548
2013-09-16,29200,29200,28850,29100,192616,0.3448275862068966
2013-09-17,29200,29400,29000,29400,318509,1.0309278350515463
2013-09-23,29900,29950,28500,29100,561747,-1.0204081632653061
2013-09-24,28800,29100,28200,28350,594145,-2.5773195876288657
2013-09-25,28450,28600,28350,28600,392969,0.8818342151675485
2013-09-26,28250,28950,28150,28650,367639,0.17482517482517482
2013-09-27,29000,29000,28500,28500,384944,-0.5235602094240838
2013-09-30,28500,28700,28050,28500,352506,0.0
2013-10-01,28150,28450,28050,28150,340584,-1.2280701754385965
2013-10-02,28150,28350,28050,28100,311253,-0.17761989342806395
2013-10-04,27900,28650,27850,28350,407278,0.8896797153024912
2013-10-07,28150,28600,27750,28000,392048,-1.2345679012345678
2013-10-08,28000,28200,27450,28200,508616,0.7142857142857143
2013-10-10,28200,28350,27850,28000,561520,-0.7092198581560284
2013-10-11,28250,28700,28200,28650,562339,2.3214285714285716
2013-10-14,28700,28850,28200,28200,269027,-1.5706806282722512
2013-10-15,28350,29350,28250,29300,763623,3.900709219858156
2013-10-16,29200,29400,28800,29200,513903,-0.3412969283276451
2013-10-17,29400,29500,29000,29500,371128,1.0273972602739725
2013-10-18,29500,29900,29300,29550,314634,0.1694915254237288
2013-10-21,29450,29900,29400,29750,350746,0.676818950930626
2013-10-22,29850,30000,29400,29850,420721,0.33613445378151263
