date,open,high,low,close,volume,change_rate
2013-08-20,22900,22900,21750,22000,142263,
2013-08-21,22100,22250,21150,21200,150715,-3.6363636363636362
2013-08-22,21100,21850,20900,21800,105180,2.8301886792452833
2013-08-23,21700,22250,21500,22250,144877,2.064220183486239
2013-08-26,22800,23500,22700,23350,352390,4.943820224719101
2013-08-27,23250,23800,23150,23500,287917,0.6423982869379015
2013-08-28,23250,24150,23050,24150,251561,2.7659574468085104
2013-08-29,24300,24600,23900,24450,302386,1.2422360248447204
2013-08-30,24700,24750,24050,24200,199803,-1.0224948875255624
2013-09-02,24400,24800,24050,24550,148283,1.4462809917355373
2013-09-03,24600,24750,24400,24550,110895,0.0
2013-09-04,24700,25250,24650,24650,200953,0.40733197556008144
2013-09-05,24650,24650,23850,23950,196056,-2.839756592292089
2013-09-06,24100,24400,23650,23700,145017,-1.0438413361169103
2013-09-09,23900,24550,23900,24500,162789,3.375527426160337
2013-09-10,24700,25150,24350,24450,246590,-0.20408163265306123
2013-09-11,24600,24750,22750,22800,765764,-6.748466257668712
2013-09-12,22800,23200,22800,22850,311793,0.21929824561403508
2013-09-13,22900,23250,22900,23000,121371,0.6564551422319475
2013-09-16,23200,23250,22950,22950,96420,-0.21739130434782608
2013-09-17,22950,23300,22750,23300,95570,1.5250544662309369
2013-09-23,23500,23850,23450,23650,136377,1.502145922746781
2013-09-24,24300,24500,23600,23600,183277,-0.21141649048625794
2013-09-25,23800,23800,22750,22900,226628,-2.9661016949152543
2013-09-26,22750,23250,22750,23000,145654,0.43668122270742354
2013-09-27,23300,24000,23250,23950,179765,4.130434782608695
2013-09-30,23900,23900,23350,23550,74723,-1.6701461377870561
2013-10-01,23400,23550,22950,23100,117480,-1.910828025477707
2013-10-02,23350,23450,22850,22850,81049,-1.0822510822510822
2013-10-04,22900,23000,22150,22200,128496,-2.8446389496717726
2013-10-07,22100,22250,21450,21600,185818,-2.7027027027027026
2013-10-08,21600,22050,21550,21950,94301,1.6203703703703702
2013-10-10,21950,22350,21850,22200,79645,1.1389521640091116
2013-10-11,22500,22700,22300,22500,96988,1.3513513513513513
2013-10-14,22550,22600,21950,22000,92506,-2.2222222222222223
2013-10-15,22400,22450,22100,22400,41172,1.8181818181818181
2013-10-16,22700,22950,22150,22200,129487,-0.8928571428571428
2013-10-17,22450,22500,21900,21900,88263,-1.3513513513513513
2013-10-18,21800,22350,21600,21950,122675,0.228310502283105
2013-10-21,22150,22450,22050,22400,114835,2.050113895216401
2013-10-22,22500,22950,22400,22800,172610,1.7857142857142856
2013-10-23,23050,23250,22600,22700,177654,-0.43859649122807015
2013-10-24,23050,24300,22950,24300,469624,7.048458149779736
