date,open,high,low,close,volume,change_rate
2013-08-20,6570,6590,6360,6410,106730,
2013-08-21,6410,6590,6230,6380,66310,-0.46801872074883
2013-08-22,6300,6300,6110,6120,119820,-4.075235109717868
2013-08-23,6140,6220,6020,6120,83828,0.0
2013-08-26,6140,6180,6070,6100,17623,-0.32679738562091504
2013-08-27,6100,6160,5980,6100,40060,0.0
2013-08-28,6090,6130,5980,6100,31151,0.0
2013-08-29,6120,6200,6060,6170,60603,1.1475409836065573
2013-08-30,6170,6240,6120,6210,33400,0.6482982171799028
2013-09-02,6140,6200,6060,6130,45879,-1.288244766505636
2013-09-03,6130,6150,6020,6080,50340,-0.8156606851549755
2013-09-04,6060,6110,5950,6010,52550,-1.151315789473684
2013-09-05,6010,6050,5600,5650,395557,-5.990016638935108
2013-09-06,5650,5820,5650,5750,130552,1.7699115044247788
2013-09-09,5810,5840,5730,5800,56280,0.8695652173913043
2013-09-10,5780,5810,5670,5800,96472,0.0
2013-09-11,5800,5840,5730,5830,42497,0.5172413793103449
2013-09-12,5810,5920,5790,5810,63810,-0.34305317324185247
2013-09-13,5820,5850,5740,5800,33062,-0.17211703958691912
2013-09-16,5800,5820,5710,5780,38724,-0.3448275862068966
2013-09-17,5750,5820,5720,5800,20850,0.34602076124567477
2013-09-23,5770,5830,5770,5790,18071,-0.1724137931034483
2013-09-24,5760,5820,5730,5790,26275,0.0
2013-09-25,5760,5840,5700,5790,32880,0.0
2013-09-26,5820,5820,5720,5790,29890,0.0
2013-09-27,5770,6050,5770,6020,69725,3.9723661485319512
2013-09-30,6020,6060,5930,6010,33964,-0.16611295681063123
2013-10-01,6000,6030,5910,5960,26594,-0.8319467554076538
2013-10-02,5980,6040,5920,5920,41436,-0.6711409395973155
2013-10-04,5890,5980,5850,5950,25490,0.5067567567567568
2013-10-07,5860,5960,5830,5830,35443,-2.0168067226890756
2013-10-08,5870,5870,5730,5800,24477,-0.5145797598627788
2013-10-10,5770,5850,5730,5730,8651,-1.206896551724138
2013-10-11,5780,5890,5730,5840,26850,1.9197207678883073
2013-10-14,5840,5970,5800,5860,18520,0.3424657534246575
2013-10-15,5940,5940,5800,5840,11990,-0.3412969283276451
2013-10-16,5840,5870,5750,5780,14821,-1.0273972602739725
2013-10-17,5800,5840,5600,5630,83510,-2.5951557093425603
2013-10-18,5590,5680,5490,5530,72976,-1.7761989342806392
2013-10-21,5530,5610,5530,5550,37850,0.3616636528028933
2013-10-22,5550,5610,5530,5530,24441,-0.36036036036036034
2013-10-23,5540,5690,5540,5590,22910,1.0849909584086799
2013-10-24,5570,5650,5570,5630,13918,0.7155635062611807
2013-10-25,5630,5670,5580,5640,29829,0.17761989342806395
2013-10-28,5650,5690,5610,5660,23026,0.3546099290780142
2013-10-29,5660,5670,5600,5670,18810,0.17667844522968199
2013-10-30,5670,5680,5580,5660,16860,-0.1763668430335097
2013-10-31,5670,5670,5570,5570,32680,-1.5901060070671376
2013-11-01,5590,5660,5550,5590,20111,0.3590664272890485
2013-11-04,5580,5610,5460,5530,31391,-1.073345259391771
2013-11-05,5560,5560,5380,5440,35856,-1.62748643761302
2013-11-06,5390,5460,5370,5410,20710,-0.5514705882352942
2013-11-07,5430,5440,5270,5340,56780,-1.2939001848428837
2013-11-08,5330,5330,5180,5250,39910,-1.6853932584269662
2013-11-11,5250,5300,5070,5140,34839,-2.0952380952380953
2013-11-12,5140,5230,5130,5230,28671,1.7509727626459144
2013-11-13,5250,5250,5130,5150,6981,-1.5296367112810707
2013-11-14,5130,5240,5080,5190,34904,0.7766990291262136
2013-11-15,5200,5200,5100,5170,17870,-0.3853564547206166
2013-11-18,5140,5140,4965,5120,144278,-0.9671179883945842
2013-11-19,5050,5120,4980,5040,69487,-1.5625
2013-11-20,5000,5120,5000,5070,72186,0.5952380952380952
2013-11-21,5010,5090,4985,5080,51410,0.19723865877712032
2013-11-22,5100,5110,4985,5000,24721,-1.574803149606299
2013-11-25,5000,5050,4965,5000,49253,0.0
2013-11-26,5030,5070,4970,5070,65721,1.4000000000000001
2013-11-27,5070,5070,4980,5040,42746,-0.591715976331361
2013-11-28,5040,5040,4985,4985,54275,-1.0912698412698412
2013-11-29,5050,5050,4975,5000,34250,0.3009027081243731
2013-12-02,5000,5030,4900,4970,122794,-0.6
2013-12-03,4960,4980,4850,4850,94940,-2.414486921529175
2013-12-04,4850,4900,4780,4845,52560,-0.10309278350515465
2013-12-05,4810,4865,4720,4740,66161,-2.1671826625387
2013-12-06,4760,4895,4760,4860,35801,2.5316455696202533
2013-12-09,4900,4900,4820,4895,28295,0.720164609053498
2013-12-10,4910,4910,4790,4865,34822,-0.6128702757916241
2013-12-11,4800,4865,4790,4865,28420,0.0
2013-12-12,4805,4980,4800,4890,57951,0.513874614594039
2013-12-13,4890,4900,4800,4855,18313,-0.7157464212678937
2013-12-16,4850,4850,4780,4800,33600,-1.132852729145211
2013-12-17,4785,4800,4640,4655,183228,-3.0208333333333335
2013-12-18,4685,4700,4590,4645,58325,-0.21482277121374865
2013-12-19,4645,4765,4480,4480,122125,-3.552206673842842
2013-12-20,4490,4605,4430,4545,90765,1.4508928571428572
2013-12-23,4515,4650,4515,4650,48363,2.31023102310231
2013-12-24,4680,4705,4600,4660,25677,0.21505376344086022
2013-12-26,4680,4735,4555,4580,442634,-1.7167381974248928
2013-12-27,4500,4550,4395,4430,1318159,-3.2751091703056767
2013-12-30,4315,4455,4315,4390,124714,-0.9029345372460496
2014-01-02,4440,4510,4410,4440,99452,1.1389521640091116
2014-01-03,4420,4575,4420,4540,107190,2.2522522522522523
2014-01-06,4575,4580,4500,4555,71873,0.3303964757709251
2014-01-07,4555,4625,4545,4580,103201,0.5488474204171241
2014-01-08,4630,4730,4580,4730,96900,3.2751091703056767
2014-01-09,4785,4785,4685,4735,164913,0.10570824524312897
2014-01-10,4760,4770,4680,4700,56910,-0.7391763463569165
2014-01-13,4740,4740,4685,4700,76871,0.0
2014-01-14,4725,4725,4685,4690,57824,-0.2127659574468085
2014-01-15,4700,4845,4700,4750,82249,1.279317697228145
2014-01-16,4780,4875,4775,4860,348224,2.3157894736842106
2014-01-17,4910,4920,4855,4910,112872,1.02880658436214
2014-01-20,4930,4995,4850,4995,96598,1.7311608961303464
2014-01-21,4950,4995,4900,4960,74932,-0.7007007007007007
2014-01-22,4935,4990,4920,4970,76445,0.20161290322580644
2014-01-23,4945,4970,4835,4855,79673,-2.3138832997987926
2014-01-24,4855,4895,4745,4865,75983,0.20597322348094746
2014-01-27,4755,4805,4745,4800,49710,-1.3360739979445015
2014-01-28,4800,4875,4745,4830,63311,0.625
2014-01-29,4790,4935,4790,4925,48349,1.9668737060041408
2014-02-03,4925,5100,4880,4970,156972,0.9137055837563453
2014-02-04,4915,4960,4860,4900,56831,-1.4084507042253522
2014-02-05,4890,4945,4875,4880,58068,-0.40816326530612246
2014-02-06,4860,4900,4825,4855,46324,-0.5122950819672131
2014-02-07,4865,4910,4840,4890,49449,0.7209062821833162
2014-02-10,4920,4930,4830,4850,79986,-0.81799591002045
2014-02-11,4820,4890,4820,4865,31259,0.30927835051546393
2014-02-12,4865,4910,4830,4830,55389,-0.7194244604316548
2014-02-13,4810,4850,4785,4790,39121,-0.8281573498964804
2014-02-14,4790,4820,4670,4690,123274,-2.0876826722338206
2014-02-17,4730,4735,4680,4710,50147,0.42643923240938164
2014-02-18,4710,4735,4675,4715,54693,0.10615711252653928
2014-02-19,4715,4715,4625,4640,101013,-1.5906680805938493
2014-02-20,4655,4685,4585,4675,119591,0.7543103448275862
2014-02-21,4675,4715,4660,4695,58414,0.42780748663101603
2014-02-24,4715,4870,4690,4840,118632,3.08839190628328
2014-02-25,4855,4865,4780,4780,66561,-1.2396694214876034
2014-02-26,4830,4920,4800,4920,142619,2.928870292887029
2014-02-27,4990,5160,4960,5090,351931,3.4552845528455287
2014-02-28,5100,5250,5070,5190,185329,1.9646365422396856
