date,open,high,low,close,volume,change_rate
2023-05-31,16600,21580,16600,21580,750965,
2023-06-01,28040,28040,28040,28040,506180,29.935125115848006
2023-06-02,34000,34980,30300,30300,11941920,8.059914407988588
2023-06-05,30479,32380,28420,32380,7093055,6.864686468646865
2023-06-07,33160,42000,33140,42000,12706325,29.709697344039533
2023-06-08,44000,48600,41400,45600,11761845,8.571428571428571
2023-06-09,44400,48400,42500,47700,3289230,4.605263157894736
2023-06-12,50000,62000,48700,62000,5689585,29.979035639413
2023-06-13,66700,80600,66500,80600,9602070,30.0
2023-06-14,0,0,0,80600,0,0.0
2023-06-15,86600,90000,72600,84000,8332430,4.218362282878412
2023-06-16,0,0,0,84000,0,0.0
2023-06-19,82600,87300,78000,87300,2759515,3.9285714285714284
2023-06-20,83400,86200,80600,80600,1927865,-7.674684994272623
2023-06-21,80700,83000,70200,71500,4454765,-11.29032258064516
2023-06-22,68600,69900,60000,62800,5615270,-12.167832167832168
2023-06-23,64000,71900,63100,67700,4303720,7.802547770700636
2023-06-26,67700,70300,62499,67600,2845455,-0.14771048744460857
2023-06-27,66600,66700,63000,63400,1436080,-6.21301775147929
2023-06-28,65600,65600,60099,61000,1642365,-3.7854889589905363
2023-06-29,60000,60200,54300,55100,2326715,-9.672131147540984
2023-06-30,53800,64999,51400,65000,4851760,17.96733212341198
2023-07-03,64600,67500,62300,66600,2727400,2.4615384615384617
2023-07-04,66900,67000,62799,65500,1690245,-1.6516516516516515
2023-07-05,64300,64400,62000,62300,1278830,-4.885496183206107
2023-07-06,59600,66400,58800,62500,1812345,0.32102728731942215
2023-07-07,62099,62799,60800,62000,711920,-0.8
2023-07-10,60999,61700,59400,59400,755040,-4.193548387096775
2023-07-11,60799,64800,60400,63000,1567330,6.0606060606060606
2023-07-12,64400,64600,61000,62400,720920,-0.9523809523809524
2023-07-13,61500,66400,61000,66300,1313870,6.25
2023-07-14,65300,69500,64000,68200,1704415,2.865761689291101
2023-07-17,66800,69300,62600,68300,1007585,0.1466275659824047
2023-07-18,67400,68700,66600,68300,1124250,0.0
2023-07-19,73500,74400,69400,72700,2672520,6.44216691068814
2023-07-20,70200,71100,67200,67600,1004645,-7.015130674002751
2023-07-21,65700,67000,64300,65500,983540,-3.106508875739645
2023-07-24,63499,65299,61600,62000,1385705,-5.343511450381679
2023-07-25,60100,65000,59400,59900,1797225,-3.387096774193549
2023-07-26,59300,59500,51000,54200,2694220,-9.515859766277128
2023-07-27,56200,62200,53000,54300,2351950,0.18450184501845018
2023-07-28,53300,55200,51000,53800,1027385,-0.9208103130755065
2023-07-31,53300,58400,53000,56900,917860,5.762081784386617
2023-08-01,58200,59000,53400,54100,745995,-4.92091388400703
2023-08-02,52000,53900,50200,50300,750445,-7.024029574861368
2023-08-03,50300,50900,47900,48800,779960,-2.982107355864811
2023-08-04,48100,49500,46400,46900,689140,-3.8934426229508197
2023-08-07,45200,45600,40500,41300,1550245,-11.940298507462686
2023-08-08,40400,44400,39940,42400,1236505,2.663438256658596
2023-08-09,41200,48000,40800,43300,1532490,2.1226415094339623
2023-08-10,43300,44200,41000,41500,582320,-4.157043879907621
2023-08-11,41900,45000,40799,44400,942585,6.987951807228916
2023-08-14,47000,51400,45099,48200,1754250,8.558558558558559
2023-08-16,47300,47300,42500,43600,817040,-9.54356846473029
2023-08-17,42400,44400,41600,43400,692130,-0.45871559633027525
2023-08-18,43400,43600,40700,42000,505220,-3.225806451612903
2023-08-21,41300,43300,41300,42100,346575,0.2380952380952381
2023-08-22,42100,43000,40700,41800,496350,-0.7125890736342043
2023-08-23,41600,41800,39600,39600,681410,-5.263157894736842
2023-08-24,39620,41200,38120,40900,802165,3.2828282828282833
2023-08-25,39600,40700,39300,39600,330275,-3.1784841075794623
2023-08-28,40000,41400,39720,40800,320710,3.0303030303030303
2023-08-29,40400,41200,39860,40600,330445,-0.49019607843137253
2023-08-30,42000,52700,41500,52700,3168595,29.802955665024633
2023-08-31,54900,57000,52200,56200,3728645,6.641366223908918
2023-09-01,57000,57100,49100,49400,1344965,-12.099644128113878
2023-09-04,50000,53500,49500,49600,894985,0.4048582995951417
2023-09-05,50200,52300,47100,48300,686685,-2.620967741935484
2023-09-06,48800,49700,47300,48500,476205,0.4140786749482402
2023-09-07,47800,48800,46100,48700,445310,0.4123711340206186
2023-09-08,50400,52000,48300,48900,551720,0.41067761806981523
2023-09-11,49200,49400,46400,47000,316515,-3.885480572597137
2023-09-12,48000,48800,44700,44800,388675,-4.680851063829787
2023-09-13,44000,47799,43400,44500,396745,-0.6696428571428571
2023-09-14,44600,46700,44199,46400,255620,4.269662921348314
2023-09-15,47100,47800,45600,47800,264120,3.0172413793103448
2023-09-18,47200,47800,45900,45900,198155,-3.9748953974895396
2023-09-19,45300,46600,43400,43500,266475,-5.228758169934641
2023-09-20,43100,44900,42600,43500,251370,0.0
2023-09-21,43100,46600,42499,43800,366355,0.6896551724137931
2023-09-22,43000,44100,42100,43100,224315,-1.5981735159817352
2023-09-25,42700,43700,40400,40500,297785,-6.0324825986078885
2023-09-26,40500,41400,40400,40500,166825,0.0
2023-09-27,40000,41700,39700,41700,143305,2.9629629629629632
2023-10-04,40800,40900,40000,40000,143590,-4.07673860911271
2023-10-05,40600,40800,38900,38900,191865,-2.75
2023-10-06,38200,39680,38200,38300,167610,-1.5424164524421593
2023-10-10,38420,38700,34900,34900,451925,-8.87728459530026
2023-10-11,35100,37220,35100,36500,260580,4.584527220630372
2023-10-12,36500,37460,36500,36820,165385,0.8767123287671232
2023-10-13,36400,36500,35260,35440,191760,-3.7479630635524175
2023-10-16,34900,35160,34000,34660,225075,-2.200902934537246
2023-10-17,35000,36760,35000,36680,222500,5.8280438545874205
2023-10-18,36200,37080,35040,35040,210885,-4.471101417666303
2023-10-19,34220,34600,33000,33260,259765,-5.079908675799087
2023-10-20,32199,32780,30959,31460,356425,-5.411906193625978
2023-10-23,30620,31640,30580,30660,190720,-2.542911633820725
2023-10-24,31060,31700,29000,31620,336870,3.131115459882583
2023-10-25,32000,32020,29320,29320,214365,-7.2738772928526245
2023-10-26,28200,28360,26100,26140,668115,-10.845839017735335
2023-10-27,26020,26660,25220,25240,638100,-3.442999234889059
2023-10-30,24720,25600,24320,25120,340775,-0.4754358161648178
2023-10-31,25140,25400,22599,22800,616695,-9.235668789808917
2023-11-01,23160,26240,23140,23980,879395,5.175438596491229
2023-11-02,24980,28300,24800,26920,1054340,12.260216847372812
2023-11-03,28400,29900,27280,27480,801090,2.080237741456166
2023-11-06,31599,34820,29000,34160,1762665,24.308588064046578
2023-11-07,34160,34460,28660,29280,1325475,-14.285714285714285
2023-11-08,28940,30160,27720,28020,531730,-4.30327868852459
2023-11-09,28500,32800,27260,30420,1194470,8.565310492505352
2023-11-10,29280,33000,28800,31680,879875,4.142011834319527
2023-11-13,33300,33300,29740,29740,471565,-6.123737373737374
2023-11-14,30500,33240,30440,32620,829470,9.68392737054472
2023-11-15,34200,34360,31920,32200,658420,-1.2875536480686696
2023-11-16,32199,33680,31840,32160,444685,-0.12422360248447205
2023-11-17,31700,31760,29340,30320,559770,-5.721393034825871
2023-11-20,30000,30539,29680,30280,297855,-0.13192612137203166
2023-11-21,30579,30680,29660,30000,284500,-0.9247027741083224
2023-11-22,29720,30500,29160,30460,431580,1.5333333333333332
2023-11-23,30260,30580,29500,29800,315190,-2.1667760998030205
2023-11-24,29800,30280,29359,29360,233865,-1.476510067114094
2023-11-27,29360,30640,28000,30360,769900,3.4059945504087197
2023-11-28,32500,34140,30200,30220,1371165,-0.461133069828722
2023-11-29,30620,30900,29640,30040,466090,-0.5956320317670417
2023-11-30,31000,39040,30820,38560,7144020,28.362183754993342
2023-12-01,38000,40900,35700,38780,4143710,0.5705394190871369
2023-12-04,39480,39640,35840,36100,1206465,-6.910778751933987
2023-12-05,35380,37900,35120,35680,1013720,-1.1634349030470914
2023-12-06,34980,36060,34760,34760,457845,-2.57847533632287
2023-12-07,35000,37800,34380,34540,1471900,-0.6329113924050633
2023-12-08,34980,35420,33820,34580,524475,0.11580775911986102
2023-12-11,34700,36960,34580,35620,1026630,3.007518796992481
2023-12-12,35880,36520,35280,36480,452560,2.4143739472206627
2023-12-13,35980,36460,34880,34900,378935,-4.3311403508771935
2023-12-14,35500,35800,34560,35000,283705,0.28653295128939826
2023-12-15,35420,36600,34520,34600,556745,-1.1428571428571428
2023-12-18,34980,35160,33960,34680,397675,0.23121387283236997
2023-12-19,34720,34840,34000,34120,339320,-1.6147635524798154
2023-12-20,34320,34940,34260,34520,302340,1.1723329425556859
2023-12-21,34160,34680,33840,34180,280585,-0.9849362688296639
2023-12-22,34580,34580,33400,33400,227215,-2.2820362785254535
