symbol,name,close,per,pbr,eps,bps,dps,div_yield,fwd_eps,fwd_per,date,market_cap,shares_outstanding
33637L,두산솔루스2우B,28750.0,,,,,0.0,0.0,,,2019-10-31,47323937500.0,1646050
33637L,두산솔루스2우B,14550.0,,,,,0.0,0.0,,,2019-11-29,23950027500.0,1646050
33637L,두산솔루스2우B,,,,,,,,,,2019-12-31,,1646050
33637L,두산솔루스2우B,21500.0,,,,,0.0,0.0,,,2020-01-31,35390075000.0,1646050
33637L,두산솔루스2우B,21000.0,,,,,0.0,0.0,,,2020-02-28,34567050000.0,1646050
33637L,두산솔루스2우B,17750.0,,,,,0.0,0.0,,,2020-03-31,29217387500.0,1646050
33637L,두산솔루스2우B,,,,,,,,,,2020-04-30,,1646050
33637L,두산솔루스2우B,42650.0,,,,,0.0,0.0,,,2020-05-29,70204032500.0,1646050
33637L,두산솔루스2우B,34150.0,,,,,0.0,0.0,,,2020-06-30,56212607500.0,1646050
33637L,두산솔루스2우B,37700.0,,,,,0.0,0.0,,,2020-07-31,62056085000.0,1646050
33637L,두산솔루스2우B,32300.0,,,,,0.0,0.0,,,2020-08-31,53167415000.0,1646050
33637L,두산솔루스2우B,,,,,,,,,,2020-09-30,,1646050
33637L,두산솔루스2우B,31700.0,,,,,0.0,0.0,,,2020-10-30,52179785000.0,1646050
33637L,두산솔루스2우B,37250.0,,,,,0.0,0.0,,,2020-11-30,61315362500.0,1646050
33637L,솔루스첨단소재2우B,,,,,,,,,,2020-12-31,,1646050
33637L,솔루스첨단소재2우B,30250.0,,,,,0.0,0.0,,,2021-01-29,49793012500.0,1646050
33637L,솔루스첨단소재2우B,26700.0,,,,,0.0,0.0,,,2021-02-26,43949535000.0,1646050
33637L,솔루스첨단소재2우B,23950.0,,,,,0.0,0.0,,,2021-03-31,39422897500.0,1646050
33637L,솔루스첨단소재2우B,27700.0,,,,,0.0,0.0,,,2021-04-30,45595585000.0,1646050
33637L,솔루스첨단소재2우B,27950.0,,,,,12.0,0.04,,,2021-05-31,46007097500.0,1646050
33637L,솔루스첨단소재2우B,29700.0,,,,,12.0,0.04,,,2021-06-30,48887685000.0,1646050
33637L,솔루스첨단소재2우B,34600.0,,,,,12.0,0.03,,,2021-07-30,56953330000.0,1646050
33637L,솔루스첨단소재2우B,30800.0,,,,,12.0,0.04,,,2021-08-31,50698340000.0,1646050
33637L,솔루스첨단소재2우B,30900.0,,,,,12.0,0.04,,,2021-09-30,50862945000.0,1646050
33637L,솔루스첨단소재2우B,30250.0,,,,,12.0,0.04,,,2021-10-29,49793012500.0,1646050
33637L,솔루스첨단소재2우B,29050.0,,,,,12.0,0.04,,,2021-11-30,47817752500.0,1646050
33637L,솔루스첨단소재2우B,,,,,,,,,,2021-12-31,,1646050
33637L,솔루스첨단소재2우B,,,,,,,,,,2022-01-31,,1646050
33637L,솔루스첨단소재2우B,22800.0,,,,,12.0,0.05,,,2022-02-28,37529940000.0,1646050
33637L,솔루스첨단소재2우B,22000.0,,,,,12.0,0.05,,,2022-03-31,36213100000.0,1646050
33637L,솔루스첨단소재2우B,19350.0,,,,,12.0,0.06,,,2022-04-29,31851067500.0,1646050
33637L,솔루스첨단소재2우B,18050.0,,,,,100.0,0.55,,,2022-05-31,34102767500.0,1889350
33637L,솔루스첨단소재2우B,13450.0,,,,,100.0,0.74,,,2022-06-30,25411757500.0,1889350
33637L,솔루스첨단소재2우B,13850.0,,,,,100.0,0.72,,,2022-07-29,26167497500.0,1889350
33637L,솔루스첨단소재2우B,13850.0,,,,,100.0,0.72,,,2022-08-31,26167497500.0,1889350
33637L,솔루스첨단소재2우B,10050.0,,,,,100.0,1.0,,,2022-09-30,18987967500.0,1889350
33637L,솔루스첨단소재2우B,9220.0,,,,,100.0,1.08,,,2022-10-31,17419807000.0,1889350
33637L,솔루스첨단소재2우B,11450.0,,,,,100.0,0.87,,,2022-11-30,21633057500.0,1889350
33637L,솔루스첨단소재2우B,,,,,,,,,,2022-12-30,,1889350
33637L,솔루스첨단소재2우B,10980.0,,,,,100.0,0.91,,,2023-01-31,20745063000.0,1889350
33637L,솔루스첨단소재2우B,12580.0,,,,,100.0,0.79,,,2023-02-28,23768023000.0,1889350
33637L,솔루스첨단소재2우B,11420.0,,,,,100.0,0.88,,,2023-03-31,21576377000.0,1889350
33637L,솔루스첨단소재2우B,11010.0,,,,,100.0,0.91,,,2023-04-28,20801743500.0,1889350
