symbol,name,close,per,pbr,eps,bps,dps,div_yield,fwd_eps,fwd_per,date,market_cap,shares_outstanding
002920,유성기업,3070.0,4.64,0.42,661.0,7274.0,100.0,3.26,,,2013-01-31,79658825000.0,25947500
002920,유성기업,3610.0,5.46,0.5,661.0,7274.0,100.0,2.77,,,2013-02-28,93670475000.0,25947500
002920,유성기업,4135.0,6.26,0.57,661.0,7274.0,100.0,2.42,,,2013-03-29,107292912500.0,25947500
002920,유성기업,3980.0,4.73,0.51,842.0,7821.0,130.0,3.27,,,2013-04-30,103271050000.0,25947500
002920,유성기업,4440.0,5.27,0.57,842.0,7821.0,130.0,2.93,,,2013-05-31,115206900000.0,25947500
002920,유성기업,4375.0,5.2,0.56,842.0,7821.0,130.0,2.97,,,2013-06-28,113520312500.0,25947500
002920,유성기업,4710.0,5.59,0.6,842.0,7821.0,130.0,2.76,,,2013-07-31,122212725000.0,25947500
002920,유성기업,5340.0,6.34,0.68,842.0,7821.0,130.0,2.43,,,2013-08-30,138559650000.0,25947500
002920,유성기업,5330.0,6.33,0.68,842.0,7821.0,130.0,2.44,,,2013-09-30,138300175000.0,25947500
002920,유성기업,5070.0,6.02,0.65,842.0,7821.0,130.0,2.56,,,2013-10-31,131553825000.0,25947500
002920,유성기업,4950.0,5.88,0.63,842.0,7821.0,130.0,2.63,,,2013-11-29,128440125000.0,25947500
002920,유성기업,,,,,,,,,,2013-12-31,,25947500
002920,유성기업,,,,,,,,,,2014-01-31,,25947500
002920,유성기업,4400.0,5.23,0.56,842.0,7821.0,130.0,2.95,,,2014-02-28,114169000000.0,25947500
002920,유성기업,4770.0,5.67,0.61,842.0,7821.0,130.0,2.73,,,2014-03-31,123769575000.0,25947500
002920,유성기업,4855.0,5.88,0.55,825.0,8900.0,130.0,2.68,,,2014-04-30,125975112500.0,25947500
002920,유성기업,5230.0,6.34,0.59,825.0,8900.0,130.0,2.49,,,2014-05-30,135705425000.0,25947500
002920,유성기업,5780.0,7.01,0.65,825.0,8900.0,130.0,2.25,,,2014-06-30,149976550000.0,25947500
002920,유성기업,5730.0,6.95,0.64,825.0,8900.0,130.0,2.27,,,2014-07-31,148679175000.0,25947500
002920,유성기업,7010.0,8.5,0.79,825.0,8900.0,130.0,1.85,,,2014-08-29,181891975000.0,25947500
002920,유성기업,7350.0,8.91,0.83,825.0,8900.0,130.0,1.77,,,2014-09-30,190714125000.0,25947500
002920,유성기업,6610.0,8.01,0.74,825.0,8900.0,130.0,1.97,,,2014-10-31,171512975000.0,25947500
002920,유성기업,5920.0,7.18,0.67,825.0,8900.0,130.0,2.2,,,2014-11-28,153609200000.0,25947500
002920,유성기업,,,,,,,,,,2014-12-31,,25947500
002920,유성기업,5090.0,6.17,0.57,825.0,8900.0,130.0,2.55,,,2015-01-30,132072775000.0,25947500
002920,유성기업,5630.0,6.82,0.63,825.0,8900.0,130.0,2.31,,,2015-02-27,146084425000.0,25947500
002920,유성기업,5630.0,6.82,0.63,825.0,8900.0,130.0,2.31,,,2015-03-31,146084425000.0,25947500
002920,유성기업,5540.0,6.72,0.62,825.0,8900.0,130.0,2.35,,,2015-04-30,143749150000.0,25947500
002920,유성기업,5510.0,8.46,0.58,651.0,9469.0,130.0,2.36,,,2015-05-29,142970725000.0,25947500
002920,유성기업,4555.0,7.0,0.48,651.0,9469.0,130.0,2.85,,,2015-06-30,118190862500.0,25947500
002920,유성기업,4525.0,6.95,0.48,651.0,9469.0,130.0,2.87,,,2015-07-31,117412437500.0,25947500
002920,유성기업,4160.0,6.39,0.44,651.0,9469.0,130.0,3.13,,,2015-08-31,107941600000.0,25947500
002920,유성기업,4360.0,6.7,0.46,651.0,9469.0,130.0,2.98,,,2015-09-30,113131100000.0,25947500
002920,유성기업,4190.0,6.44,0.44,651.0,9469.0,130.0,3.1,,,2015-10-30,108720025000.0,25947500
002920,유성기업,4200.0,6.45,0.44,651.0,9469.0,130.0,3.1,,,2015-11-30,108979500000.0,25947500
002920,유성기업,,,,,,,,,,2015-12-31,,25947500
002920,유성기업,3650.0,5.61,0.39,651.0,9469.0,130.0,3.56,,,2016-01-29,94708375000.0,25947500
002920,유성기업,3830.0,5.88,0.4,651.0,9469.0,130.0,3.39,,,2016-02-29,99378925000.0,25947500
002920,유성기업,4020.0,6.18,0.42,651.0,9469.0,130.0,3.23,,,2016-03-31,104308950000.0,25947500
002920,유성기업,4095.0,6.29,0.43,651.0,9469.0,130.0,3.17,,,2016-04-29,106255012500.0,25947500
002920,유성기업,3880.0,8.31,0.39,467.0,9902.0,120.0,3.09,,,2016-05-31,100676300000.0,25947500
002920,유성기업,3735.0,8.0,0.38,467.0,9902.0,120.0,3.21,,,2016-06-30,96913912500.0,25947500
002920,유성기업,3990.0,8.54,0.4,467.0,9902.0,120.0,3.01,,,2016-07-29,103530525000.0,25947500
002920,유성기업,3860.0,8.27,0.39,467.0,9902.0,120.0,3.11,,,2016-08-31,100157350000.0,25947500
002920,유성기업,4150.0,8.89,0.42,467.0,9902.0,120.0,2.89,,,2016-09-30,107682125000.0,25947500
002920,유성기업,4040.0,8.65,0.41,467.0,9902.0,120.0,2.97,,,2016-10-31,104827900000.0,25947500
002920,유성기업,4100.0,8.78,0.41,467.0,9902.0,120.0,2.93,,,2016-11-30,106384750000.0,25947500
002920,유성기업,,,,,,,,,,2016-12-30,,25947500
002920,유성기업,4350.0,9.31,0.44,467.0,9902.0,120.0,2.76,,,2017-01-31,112871625000.0,25947500
