symbol,name,close,per,pbr,eps,bps,dps,div_yield,fwd_eps,fwd_per,date,market_cap,shares_outstanding
093050,LG패션,28400.0,8.62,1.01,3293.0,28101.0,400.0,1.41,,,2013-01-31,830416000000.0,29240000
093050,LG패션,29700.0,9.02,1.06,3293.0,28101.0,400.0,1.35,,,2013-02-28,868428000000.0,29240000
093050,LG패션,30700.0,9.32,1.09,3293.0,28101.0,400.0,1.3,,,2013-03-29,897668000000.0,29240000
093050,LG패션,31550.0,15.2,1.06,2076.0,29701.0,400.0,1.27,,,2013-04-30,922522000000.0,29240000
093050,LG패션,31250.0,15.05,1.05,2076.0,29701.0,400.0,1.28,,,2013-05-31,913750000000.0,29240000
093050,LG패션,28200.0,13.58,0.95,2076.0,29701.0,400.0,1.42,,,2013-06-28,824568000000.0,29240000
093050,LG패션,27550.0,13.27,0.93,2076.0,29701.0,400.0,1.45,,,2013-07-31,805562000000.0,29240000
093050,LG패션,25850.0,12.45,0.87,2076.0,29701.0,400.0,1.55,,,2013-08-30,755854000000.0,29240000
093050,LG패션,30200.0,14.55,1.02,2076.0,29701.0,400.0,1.32,,,2013-09-30,883048000000.0,29240000
093050,LG패션,32500.0,15.66,1.09,2076.0,29701.0,400.0,1.23,,,2013-10-31,950300000000.0,29240000
093050,LG패션,34350.0,16.55,1.16,2076.0,29701.0,400.0,1.16,,,2013-11-29,1004394000000.0,29240000
093050,LG패션,,,,,,,,,,2013-12-31,,29240000
093050,LG패션,,,,,,,,,,2014-01-31,,29240000
093050,LG패션,27750.0,13.37,0.93,2076.0,29701.0,400.0,1.44,,,2014-02-28,811410000000.0,29240000
093050,LG패션,27900.0,13.44,0.94,2076.0,29701.0,400.0,1.43,,,2014-03-31,815796000000.0,29240000
093050,LF,26800.0,11.49,0.86,2332.0,31274.0,400.0,1.49,,,2014-04-30,783632000000.0,29240000
093050,LF,27300.0,11.71,0.87,2332.0,31274.0,400.0,1.47,,,2014-05-30,798252000000.0,29240000
093050,LF,27650.0,11.86,0.88,2332.0,31274.0,400.0,1.45,,,2014-06-30,808486000000.0,29240000
093050,LF,28950.0,12.41,0.93,2332.0,31274.0,400.0,1.38,,,2014-07-31,846498000000.0,29240000
093050,LF,30500.0,13.08,0.98,2332.0,31274.0,400.0,1.31,,,2014-08-29,891820000000.0,29240000
093050,LF,35000.0,15.01,1.12,2332.0,31274.0,400.0,1.14,,,2014-09-30,1023400000000.0,29240000
093050,LF,33650.0,14.43,1.08,2332.0,31274.0,400.0,1.19,,,2014-10-31,983926000000.0,29240000
093050,LF,32000.0,13.72,1.02,2332.0,31274.0,400.0,1.25,,,2014-11-28,935680000000.0,29240000
093050,LF,,,,,,,,,,2014-12-31,,29240000
093050,LF,31500.0,13.51,1.01,2332.0,31274.0,400.0,1.27,,,2015-01-30,921060000000.0,29240000
093050,LF,31500.0,13.51,1.01,2332.0,31274.0,400.0,1.27,,,2015-02-27,921060000000.0,29240000
093050,LF,31700.0,13.59,1.01,2332.0,31274.0,400.0,1.26,,,2015-03-31,926908000000.0,29240000
093050,LF,35300.0,15.14,1.13,2332.0,31274.0,400.0,1.13,,,2015-04-30,1032172000000.0,29240000
093050,LF,31150.0,11.24,0.93,2772.0,33599.0,500.0,1.61,,,2015-05-29,910826000000.0,29240000
093050,LF,30300.0,10.93,0.9,2772.0,33599.0,500.0,1.65,,,2015-06-30,885972000000.0,29240000
093050,LF,35000.0,12.63,1.04,2772.0,33599.0,500.0,1.43,,,2015-07-31,1023400000000.0,29240000
093050,LF,32700.0,11.8,0.97,2772.0,33599.0,500.0,1.53,,,2015-08-31,956148000000.0,29240000
093050,LF,32750.0,11.81,0.97,2772.0,33599.0,500.0,1.53,,,2015-09-30,957610000000.0,29240000
093050,LF,31650.0,11.42,0.94,2772.0,33599.0,500.0,1.58,,,2015-10-30,925446000000.0,29240000
093050,LF,29000.0,10.46,0.86,2772.0,33599.0,500.0,1.72,,,2015-11-30,847960000000.0,29240000
093050,LF,,,,,,,,,,2015-12-31,,29240000
093050,LF,25950.0,9.36,0.77,2772.0,33599.0,500.0,1.93,,,2016-01-29,758778000000.0,29240000
093050,LF,25050.0,9.04,0.75,2772.0,33599.0,500.0,2.0,,,2016-02-29,732462000000.0,29240000
093050,LF,25900.0,9.34,0.77,2772.0,33599.0,500.0,1.93,,,2016-03-31,757316000000.0,29240000
093050,LF,25750.0,9.29,0.77,2772.0,33599.0,500.0,1.94,,,2016-04-29,752930000000.0,29240000
093050,LF,24000.0,13.78,0.69,1742.0,34790.0,500.0,2.08,,,2016-05-31,701760000000.0,29240000
093050,LF,21150.0,12.14,0.61,1742.0,34790.0,500.0,2.36,,,2016-06-30,618426000000.0,29240000
093050,LF,20850.0,11.97,0.6,1742.0,34790.0,500.0,2.4,,,2016-07-29,609654000000.0,29240000
093050,LF,21800.0,12.51,0.63,1742.0,34790.0,500.0,2.29,,,2016-08-31,637432000000.0,29240000
093050,LF,22150.0,12.72,0.64,1742.0,34790.0,500.0,2.26,,,2016-09-30,647666000000.0,29240000
093050,LF,21700.0,12.46,0.62,1742.0,34790.0,500.0,2.3,,,2016-10-31,634508000000.0,29240000
093050,LF,22100.0,12.69,0.64,1742.0,34790.0,500.0,2.26,,,2016-11-30,646204000000.0,29240000
093050,LF,,,,,,,,,,2016-12-30,,29240000
093050,LF,21400.0,12.28,0.62,1742.0,34790.0,500.0,2.34,,,2017-01-31,625736000000.0,29240000
093050,LF,21100.0,12.11,0.61,1742.0,34790.0,500.0,2.37,,,2017-02-28,616964000000.0,29240000
