symbol,name,close,per,pbr,eps,bps,dps,div_yield,fwd_eps,fwd_per,date,market_cap,shares_outstanding
004410,서울식품,2520.0,,1.51,,1670.0,0.0,0.0,,,2013-01-31,33305328000.0,13216400
004410,서울식품,2355.0,,1.41,,1670.0,0.0,0.0,,,2013-02-28,31124622000.0,13216400
004410,서울식품,2540.0,,1.52,,1670.0,0.0,0.0,,,2013-03-29,33569656000.0,13216400
004410,서울식품,2510.0,34.38,1.4,73.0,1792.0,0.0,0.0,,,2013-04-30,33173164000.0,13216400
004410,서울식품,2640.0,36.16,1.47,73.0,1792.0,0.0,0.0,,,2013-05-31,34891296000.0,13216400
004410,서울식품,2810.0,38.49,1.57,73.0,1792.0,0.0,0.0,,,2013-06-28,37138084000.0,13216400
004410,서울식품,3080.0,42.19,1.72,73.0,1792.0,0.0,0.0,,,2013-07-31,40706512000.0,13216400
004410,서울식품,2660.0,36.44,1.48,73.0,1792.0,0.0,0.0,,,2013-08-30,35155624000.0,13216400
004410,서울식품,2605.0,35.68,1.45,73.0,1792.0,0.0,0.0,,,2013-09-30,34428722000.0,13216400
004410,서울식품,2415.0,33.08,1.35,73.0,1792.0,0.0,0.0,,,2013-10-31,31917606000.0,13216400
004410,서울식품,2400.0,32.88,1.34,73.0,1792.0,0.0,0.0,,,2013-11-29,31719360000.0,13216400
004410,서울식품,,,,,,,,,,2013-12-31,,13216400
004410,서울식품,,,,,,,,,,2014-01-31,,13216400
004410,서울식품,2430.0,33.29,1.36,73.0,1792.0,0.0,0.0,,,2014-02-28,32115852000.0,13216400
004410,서울식품,2420.0,33.15,1.35,73.0,1792.0,0.0,0.0,,,2014-03-31,31983688000.0,13216400
004410,서울식품,2545.0,39.77,1.38,64.0,1842.0,0.0,0.0,,,2014-04-30,33635738000.0,13216400
004410,서울식품,2700.0,42.19,1.47,64.0,1842.0,0.0,0.0,,,2014-05-30,35684280000.0,13216400
004410,서울식품,2545.0,39.77,1.38,64.0,1842.0,0.0,0.0,,,2014-06-30,33635738000.0,13216400
004410,서울식품,2625.0,41.02,1.43,64.0,1842.0,0.0,0.0,,,2014-07-31,34693050000.0,13216400
004410,서울식품,2480.0,38.75,1.35,64.0,1842.0,0.0,0.0,,,2014-08-29,32776672000.0,13216400
004410,서울식품,2490.0,38.91,1.35,64.0,1842.0,0.0,0.0,,,2014-09-30,32908836000.0,13216400
004410,서울식품,2245.0,35.08,1.22,64.0,1842.0,0.0,0.0,,,2014-10-31,29670818000.0,13216400
004410,서울식품,2225.0,34.77,1.21,64.0,1842.0,0.0,0.0,,,2014-11-28,29406490000.0,13216400
004410,서울식품,,,,,,,,,,2014-12-31,,13216400
004410,서울식품,2400.0,37.5,1.3,64.0,1842.0,0.0,0.0,,,2015-01-30,31719360000.0,13216400
004410,서울식품,2340.0,36.56,1.27,64.0,1842.0,0.0,0.0,,,2015-02-27,30926376000.0,13216400
004410,서울식품,3060.0,47.81,1.66,64.0,1842.0,0.0,0.0,,,2015-03-31,40442184000.0,13216400
004410,서울식품,2920.0,45.63,1.59,64.0,1842.0,0.0,0.0,,,2015-04-30,38591888000.0,13216400
004410,서울식품,3380.0,109.03,1.82,31.0,1854.0,0.0,0.0,,,2015-05-29,44671432000.0,13216400
004410,서울식품,3735.0,120.48,2.01,31.0,1854.0,0.0,0.0,,,2015-06-30,49363254000.0,13216400
004410,서울식품,6280.0,202.58,3.39,31.0,1854.0,0.0,0.0,,,2015-07-31,82998992000.0,13216400
004410,서울식품,5590.0,180.32,3.02,31.0,1854.0,0.0,0.0,,,2015-08-31,73879676000.0,13216400
004410,서울식품,4730.0,152.58,2.55,31.0,1854.0,0.0,0.0,,,2015-09-30,62513572000.0,13216400
004410,서울식품,4445.0,143.39,2.4,31.0,1854.0,0.0,0.0,,,2015-10-30,58746898000.0,13216400
004410,서울식품,4265.0,137.58,2.3,31.0,1854.0,0.0,0.0,,,2015-11-30,56367946000.0,13216400
004410,서울식품,,,,,,,,,,2015-12-31,,13216400
004410,서울식품,3460.0,111.61,1.87,31.0,1854.0,0.0,0.0,,,2016-01-29,45728744000.0,13216400
004410,서울식품,3900.0,125.81,2.1,31.0,1854.0,0.0,0.0,,,2016-02-29,51543960000.0,13216400
004410,서울식품,4145.0,133.71,2.24,31.0,1854.0,0.0,0.0,,,2016-03-31,54781978000.0,13216400
