symbol,name,close,per,pbr,eps,bps,dps,div_yield,fwd_eps,fwd_per,date,market_cap,shares_outstanding
000225,유유제약1우,2530.0,,,,,130.0,5.14,,,2013-01-31,2867666450.0,1133465
000225,유유제약1우,2520.0,,,,,130.0,5.16,,,2013-02-28,2856331800.0,1133465
000225,유유제약1우,2630.0,,,,,130.0,4.94,,,2013-03-29,2981012950.0,1133465
000225,유유제약1우,2650.0,,,,,130.0,4.91,,,2013-04-30,3003682250.0,1133465
000225,유유제약1우,3040.0,,,,,130.0,4.28,,,2013-05-31,3445733600.0,1133465
000225,유유제약1우,2885.0,,,,,130.0,4.51,,,2013-06-28,3270046525.0,1133465
000225,유유제약1우,3085.0,,,,,170.0,5.51,,,2013-07-31,3496739525.0,1133465
000225,유유제약1우,2970.0,,,,,170.0,5.72,,,2013-08-30,3366391050.0,1133465
000225,유유제약1우,3420.0,,,,,170.0,4.97,,,2013-09-30,3876450300.0,1133465
000225,유유제약1우,3090.0,,,,,170.0,5.5,,,2013-10-31,3502406850.0,1133465
000225,유유제약1우,2820.0,,,,,170.0,6.03,,,2013-11-29,3196371300.0,1133465
000225,유유제약1우,,,,,,,,,,2013-12-31,,1133465
000225,유유제약1우,,,,,,,,,,2014-01-31,,1133465
000225,유유제약1우,3050.0,,,,,170.0,5.57,,,2014-02-28,3457068250.0,1133465
000225,유유제약1우,3100.0,,,,,170.0,5.48,,,2014-03-31,3513741500.0,1133465
000225,유유제약1우,3115.0,,,,,170.0,5.46,,,2014-04-30,3530743475.0,1133465
000225,유유제약1우,3270.0,,,,,170.0,5.2,,,2014-05-30,3706430550.0,1133465
000225,유유제약1우,3335.0,,,,,170.0,5.1,,,2014-06-30,3780105775.0,1133465
000225,유유제약1우,3940.0,,,,,190.0,4.82,,,2014-07-31,4465852100.0,1133465
000225,유유제약1우,4580.0,,,,,190.0,4.15,,,2014-08-29,5191269700.0,1133465
000225,유유제약1우,4465.0,,,,,190.0,4.26,,,2014-09-30,5060921225.0,1133465
000225,유유제약1우,3800.0,,,,,190.0,5.0,,,2014-10-31,4307167000.0,1133465
000225,유유제약1우,3900.0,,,,,190.0,4.87,,,2014-11-28,4420513500.0,1133465
000225,유유제약1우,,,,,,,,,,2014-12-31,,1133465
000225,유유제약1우,3980.0,,,,,190.0,4.77,,,2015-01-30,4511190700.0,1133465
000225,유유제약1우,4290.0,,,,,190.0,4.43,,,2015-02-27,4862564850.0,1133465
000225,유유제약1우,4560.0,,,,,190.0,4.17,,,2015-03-31,5168600400.0,1133465
000225,유유제약1우,4930.0,,,,,190.0,3.85,,,2015-04-30,5587982450.0,1133465
000225,유유제약1우,5080.0,,,,,190.0,3.74,,,2015-05-29,5758002200.0,1133465
000225,유유제약1우,6900.0,,,,,190.0,2.75,,,2015-06-30,7820908500.0,1133465
000225,유유제약1우,9300.0,,,,,190.0,2.04,,,2015-07-31,10541224500.0,1133465
000225,유유제약1우,8720.0,,,,,190.0,2.18,,,2015-08-31,9883814800.0,1133465
000225,유유제약1우,7950.0,,,,,190.0,2.39,,,2015-09-30,9011046750.0,1133465
000225,유유제약1우,6540.0,,,,,190.0,2.91,,,2015-10-30,7412861100.0,1133465
000225,유유제약1우,6950.0,,,,,190.0,2.73,,,2015-11-30,7877581750.0,1133465
000225,유유제약1우,,,,,,,,,,2015-12-31,,1133465
000225,유유제약1우,9500.0,,,,,190.0,2.0,,,2016-01-29,10767917500.0,1133465
000225,유유제약1우,7770.0,,,,,190.0,2.45,,,2016-02-29,8807023050.0,1133465
000225,유유제약1우,7550.0,,,,,190.0,2.52,,,2016-03-31,8557660750.0,1133465
000225,유유제약1우,7740.0,,,,,190.0,2.45,,,2016-04-29,8773019100.0,1133465
000225,유유제약1우,8360.0,,,,,190.0,2.27,,,2016-05-31,9475767400.0,1133465
000225,유유제약1우,8050.0,,,,,190.0,2.36,,,2016-06-30,9124393250.0,1133465
000225,유유제약1우,7850.0,,,,,190.0,2.42,,,2016-07-29,8897700250.0,1133465
000225,유유제약1우,7300.0,,,,,190.0,2.6,,,2016-08-31,8274294500.0,1133465
000225,유유제약1우,7190.0,,,,,190.0,2.64,,,2016-09-30,8149613350.0,1133465
000225,유유제약1우,6730.0,,,,,190.0,2.82,,,2016-10-31,7628219450.0,1133465
000225,유유제약1우,6080.0,,,,,190.0,3.13,,,2016-11-30,6891467200.0,1133465
000225,유유제약1우,,,,,,,,,,2016-12-30,,1133465
000225,유유제약1우,5990.0,,,,,190.0,3.17,,,2017-01-31,6789455350.0,1133465
000225,유유제약1우,5920.0,,,,,190.0,3.21,,,2017-02-28,6710112800.0,1133465
000225,유유제약1우,5880.0,,,,,190.0,3.23,,,2017-03-31,6664774200.0,1133465
000225,유유제약1우,6330.0,,,,,190.0,3.0,,,2017-04-28,7174833450.0,1133465
000225,유유제약1우,6770.0,,,,,190.0,2.81,,,2017-05-31,7673558050.0,1133465
000225,유유제약1우,7250.0,,,,,190.0,2.62,,,2017-06-30,8217621250.0,1133465
000225,유유제약1우,6360.0,,,,,190.0,2.99,,,2017-07-31,7208837400.0,1133465
000225,유유제약1우,7240.0,,,,,190.0,2.62,,,2017-08-31,8206286600.0,1133465
000225,유유제약1우,6840.0,,,,,190.0,2.78,,,2017-09-29,7752900600.0,1133465
000225,유유제약1우,6880.0,,,,,190.0,2.76,,,2017-10-31,7798239200.0,1133465
000225,유유제약1우,7060.0,,,,,190.0,2.69,,,2017-11-30,8002262900.0,1133465
000225,유유제약1우,,,,,,,,,,2017-12-29,,1133465
000225,유유제약1우,7040.0,,,,,190.0,2.7,,,2018-01-31,7979593600.0,1133465
000225,유유제약1우,7490.0,,,,,190.0,2.54,,,2018-02-28,8489652850.0,1133465
000225,유유제약1우,8560.0,,,,,190.0,2.22,,,2018-03-30,9702460400.0,1133465
000225,유유제약1우,7780.0,,,,,190.0,2.44,,,2018-04-30,8818357700.0,1133465
000225,유유제약1우,9150.0,,,,,200.0,2.19,,,2018-05-31,10371204750.0,1133465
000225,유유제약1우,9050.0,,,,,200.0,2.21,,,2018-06-29,10257858250.0,1133465
000225,유유제약1우,8470.0,,,,,200.0,2.36,,,2018-07-31,9600448550.0,1133465
000225,유유제약1우,8650.0,,,,,200.0,2.31,,,2018-08-31,9804472250.0,1133465
000225,유유제약1우,8880.0,,,,,200.0,2.25,,,2018-09-28,10065169200.0,1133465
000225,유유제약1우,6800.0,,,,,200.0,2.94,,,2018-10-31,7707562000.0,1133465
000225,유유제약1우,7340.0,,,,,200.0,2.72,,,2018-11-30,8319633100.0,1133465
000225,유유제약1우,,,,,,,,,,2018-12-31,,1133465
000225,유유제약1우,7170.0,,,,,200.0,2.79,,,2019-01-31,8126944050.0,1133465
000225,유유제약1우,7230.0,,,,,200.0,2.77,,,2019-02-28,8194951950.0,1133465
000225,유유제약1우,7430.0,,,,,200.0,2.69,,,2019-03-29,8421644950.0,1133465
000225,유유제약1우,8130.0,,,,,200.0,2.46,,,2019-04-30,9215070450.0,1133465
000225,유유제약1우,7450.0,,,,,210.0,2.82,,,2019-05-31,8444314250.0,1133465
000225,유유제약1우,7480.0,,,,,210.0,2.81,,,2019-06-28,8478318200.0,1133465
000225,유유제약1우,6730.0,,,,,210.0,3.12,,,2019-07-31,7628219450.0,1133465
000225,유유제약1우,6320.0,,,,,210.0,3.32,,,2019-08-30,7163498800.0,1133465
000225,유유제약1우,6750.0,,,,,210.0,3.11,,,2019-09-30,7650888750.0,1133465
000225,유유제약1우,7220.0,,,,,210.0,2.91,,,2019-10-31,8183617300.0,1133465
000225,유유제약1우,7150.0,,,,,210.0,2.94,,,2019-11-29,8104274750.0,1133465
000225,유유제약1우,,,,,,,,,,2019-12-31,,1133465
000225,유유제약1우,7300.0,,,,,210.0,2.88,,,2020-01-31,8274294500.0,1133465
000225,유유제약1우,7230.0,,,,,210.0,2.9,,,2020-02-28,8194951950.0,1133465
000225,유유제약1우,6840.0,,,,,210.0,3.07,,,2020-03-31,7752900600.0,1133465
000225,유유제약1우,,,,,,,,,,2020-04-30,,1133465
000225,유유제약1우,7920.0,,,,,220.0,2.78,,,2020-05-29,8977042800.0,1133465
000225,유유제약1우,9890.0,,,,,220.0,2.22,,,2020-06-30,11209968850.0,1133465
000225,유유제약1우,16600.0,,,,,220.0,1.33,,,2020-07-31,18815519000.0,1133465
000225,유유제약1우,16000.0,,,,,220.0,1.38,,,2020-08-31,18135440000.0,1133465
000225,유유제약1우,,,,,,,,,,2020-09-30,,1133465
000225,유유제약1우,13800.0,,,,,220.0,1.59,,,2020-10-30,15641817000.0,1133465
000225,유유제약1우,13900.0,,,,,220.0,1.58,,,2020-11-30,15755163500.0,1133465
000225,유유제약1우,,,,,,,,,,2020-12-31,,1133465
000225,유유제약1우,11150.0,,,,,220.0,1.97,,,2021-01-29,12638134750.0,1133465
000225,유유제약1우,11150.0,,,,,220.0,1.97,,,2021-02-26,12638134750.0,1133465
000225,유유제약1우,8980.0,,,,,220.0,2.45,,,2021-03-31,10178515700.0,1133465
000225,유유제약1우,16000.0,,,,,220.0,1.38,,,2021-04-30,36270880000.0,2266930
000225,유유제약1우,14200.0,,,,,220.0,1.55,,,2021-05-31,32190406000.0,2266930
000225,유유제약1우,14400.0,,,,,220.0,1.53,,,2021-06-30,32643792000.0,2266930
000225,유유제약1우,12900.0,,,,,220.0,1.71,,,2021-07-30,29243397000.0,2266930
000225,유유제약1우,11400.0,,,,,220.0,1.93,,,2021-08-31,25843002000.0,2266930
000225,유유제약1우,10200.0,,,,,220.0,2.16,,,2021-09-30,23122686000.0,2266930
000225,유유제약1우,9990.0,,,,,220.0,2.2,,,2021-10-29,22646630700.0,2266930
000225,유유제약1우,7770.0,,,,,220.0,2.83,,,2021-11-30,17614046100.0,2266930
000225,유유제약1우,,,,,,,,,,2021-12-31,,2266930
000225,유유제약1우,,,,,,,,,,2022-01-31,,2266930
000225,유유제약1우,10100.0,,,,,220.0,2.18,,,2022-02-28,22895993000.0,2266930
000225,유유제약1우,10450.0,,,,,220.0,2.11,,,2022-03-31,23689418500.0,2266930
000225,유유제약1우,10000.0,,,,,220.0,2.2,,,2022-04-29,22669300000.0,2266930
000225,유유제약1우,10400.0,,,,,110.0,1.06,,,2022-05-31,23576072000.0,2266930
000225,유유제약1우,8290.0,,,,,110.0,1.33,,,2022-06-30,18792849700.0,2266930
000225,유유제약1우,9320.0,,,,,110.0,1.18,,,2022-07-29,21127787600.0,2266930
000225,유유제약1우,8860.0,,,,,110.0,1.24,,,2022-08-31,20084999800.0,2266930
000225,유유제약1우,7570.0,,,,,110.0,1.45,,,2022-09-30,17160660100.0,2266930
000225,유유제약1우,8060.0,,,,,110.0,1.36,,,2022-10-31,18271455800.0,2266930
000225,유유제약1우,7930.0,,,,,110.0,1.39,,,2022-11-30,17976754900.0,2266930
000225,유유제약1우,,,,,,,,,,2022-12-30,,2266930
000225,유유제약1우,7480.0,,,,,110.0,1.47,,,2023-01-31,16956636400.0,2266930
000225,유유제약1우,7390.0,,,,,110.0,1.49,,,2023-02-28,16752612700.0,2266930
000225,유유제약1우,6150.0,,,,,110.0,1.79,,,2023-03-31,13941619500.0,2266930
000225,유유제약1우,6410.0,,,,,110.0,1.72,,,2023-04-28,14531021300.0,2266930
000225,유유제약1우,6280.0,,,,,110.0,1.75,,,2023-05-31,14236320400.0,2266930
000225,유유제약1우,5830.0,,,,,110.0,1.89,,,2023-06-30,13216201900.0,2266930
000225,유유제약1우,4715.0,,,,,110.0,2.33,,,2023-07-31,10688574950.0,2266930
000225,유유제약1우,4435.0,,,,,110.0,2.48,,,2023-08-31,10053834550.0,2266930
000225,유유제약1우,,,,,,,,,,2023-09-29,,2266930
000225,유유제약1우,4340.0,,,,,110.0,2.53,,,2023-10-31,9838476200.0,2266930
000225,유유제약1우,6370.0,,,,,110.0,1.73,,,2023-11-30,14440344100.0,2266930
000225,유유제약1우,,,,,,,,,,2023-12-29,,2266930
000225,유유제약1우,5970.0,,,,,110.0,1.84,,,2024-01-31,13533572100.0,2266930
