symbol,name,close,per,pbr,eps,bps,dps,div_yield,fwd_eps,fwd_per,date,market_cap,shares_outstanding
00781K,코리아써키트2우B,6630.0,,,,,0.0,0.0,,,2013-06-28,5195924370.0,783699
00781K,코리아써키트2우B,7480.0,,,,,0.0,0.0,,,2013-07-31,5862068520.0,783699
00781K,코리아써키트2우B,5180.0,,,,,0.0,0.0,,,2013-08-30,4059560820.0,783699
00781K,코리아써키트2우B,5480.0,,,,,0.0,0.0,,,2013-09-30,4294670520.0,783699
00781K,코리아써키트2우B,4980.0,,,,,0.0,0.0,,,2013-10-31,3902821020.0,783699
00781K,코리아써키트2우B,4265.0,,,,,0.0,0.0,,,2013-11-29,3342476235.0,783699
00781K,코리아써키트2우B,,,,,,,,,,2013-12-31,,783699
00781K,코리아써키트2우B,,,,,,,,,,2014-01-31,,783699
00781K,코리아써키트2우B,4220.0,,,,,0.0,0.0,,,2014-02-28,3307209780.0,783699
00781K,코리아써키트2우B,4665.0,,,,,0.0,0.0,,,2014-03-31,3655955835.0,783699
00781K,코리아써키트2우B,4750.0,,,,,105.0,2.21,,,2014-04-30,3722570250.0,783699
00781K,코리아써키트2우B,4230.0,,,,,105.0,2.48,,,2014-05-30,3315046770.0,783699
00781K,코리아써키트2우B,3995.0,,,,,105.0,2.63,,,2014-06-30,3130877505.0,783699
00781K,코리아써키트2우B,4220.0,,,,,105.0,2.49,,,2014-07-31,3307209780.0,783699
00781K,코리아써키트2우B,4345.0,,,,,105.0,2.42,,,2014-08-29,3405172155.0,783699
00781K,코리아써키트2우B,3850.0,,,,,105.0,2.73,,,2014-09-30,3017241150.0,783699
00781K,코리아써키트2우B,3680.0,,,,,105.0,2.85,,,2014-10-31,2884012320.0,783699
00781K,코리아써키트2우B,3580.0,,,,,105.0,2.93,,,2014-11-28,2805642420.0,783699
00781K,코리아써키트2우B,,,,,,,,,,2014-12-31,,783699
00781K,코리아써키트2우B,4285.0,,,,,105.0,2.45,,,2015-01-30,3358150215.0,783699
00781K,코리아써키트2우B,4485.0,,,,,105.0,2.34,,,2015-02-27,3514890015.0,783699
00781K,코리아써키트2우B,5100.0,,,,,105.0,2.06,,,2015-03-31,3996864900.0,783699
00781K,코리아써키트2우B,4670.0,,,,,105.0,2.25,,,2015-04-30,3659874330.0,783699
00781K,코리아써키트2우B,4265.0,,,,,105.0,2.46,,,2015-05-29,3342476235.0,783699
00781K,코리아써키트2우B,5800.0,,,,,105.0,1.81,,,2015-06-30,4545454200.0,783699
00781K,코리아써키트2우B,7270.0,,,,,105.0,1.44,,,2015-07-31,5697491730.0,783699
00781K,코리아써키트2우B,7200.0,,,,,105.0,1.46,,,2015-08-31,5642632800.0,783699
00781K,코리아써키트2우B,6650.0,,,,,105.0,1.58,,,2015-09-30,5211598350.0,783699
00781K,코리아써키트2우B,6560.0,,,,,105.0,1.6,,,2015-10-30,5141065440.0,783699
00781K,코리아써키트2우B,5980.0,,,,,105.0,1.76,,,2015-11-30,4686520020.0,783699
00781K,코리아써키트2우B,,,,,,,,,,2015-12-31,,783699
00781K,코리아써키트2우B,5590.0,,,,,105.0,1.88,,,2016-01-29,4380877410.0,783699
00781K,코리아써키트2우B,5430.0,,,,,105.0,1.93,,,2016-02-29,4255485570.0,783699
00781K,코리아써키트2우B,5730.0,,,,,105.0,1.83,,,2016-03-31,4490595270.0,783699
00781K,코리아써키트2우B,6080.0,,,,,105.0,1.73,,,2016-04-29,4764889920.0,783699
00781K,코리아써키트2우B,5260.0,,,,,105.0,2.0,,,2016-05-31,4122256740.0,783699
00781K,코리아써키트2우B,5140.0,,,,,105.0,2.04,,,2016-06-30,4028212860.0,783699
00781K,코리아써키트2우B,5160.0,,,,,105.0,2.03,,,2016-07-29,4043886840.0,783699
00781K,코리아써키트2우B,5160.0,,,,,105.0,2.03,,,2016-08-31,4043886840.0,783699
